week_index,is_churn,active_days,hours,completion_ratio,n
1,0,3.1917456794735166,6.945894862611251,0.7117776998818597,182038
1,1,3.3123816946887876,7.131474835764376,0.7020264910921757,17962
2,0,3.1863786681901582,6.952747871323541,0.711532837221805,182038
2,1,3.3542478565861265,7.23536950228261,0.7059026697530874,17962
3,0,3.1677067425482592,6.908036025445193,0.7109808071550756,182038
3,1,3.4141520988754035,7.344668522436264,0.7044439912047922,17962
4,0,3.153956866148826,6.827571935529855,0.7047808166161044,182038
4,1,3.513639906469213,7.683018539138118,0.6984608856635072,17962
5,0,2.9665509399136445,6.41102402245681,0.703008667060813,182038
5,1,3.0848457855472664,6.749700701480913,0.6798876253687337,17962
6,0,2.955371955306035,6.406005647172537,0.7046486217983285,182038
6,1,2.9480013361541033,6.514822013138852,0.7040822095435665,17962
7,0,2.986233643524978,6.54093857326494,0.7046550957533493,182038
7,1,3.033403852577664,6.782619084734479,0.7034728552051543,17962
8,0,3.035157494589042,6.662383749546779,0.7025555827660145,182038
8,1,3.0972608840886315,6.960527947889964,0.702951212095614,17962
